cluster,leading_importance,second_importance
683,496.6372735486086,
686,5736.975011001323,
688,150.8210860589461,
692,2295.769927413156,
694,52.91502622129188,
697,924119.9726841997,
701,467167.12470816076,
704,40.00000000000006,
706,3778.911316332005,
713,74.78618275650803,
728,10072.098442413195,
731,2231.011120638076,
733,5160.209061587978,
735,1188.7103805840366,
736,214.7023500000465,
738,222.20486043288977,
741,3753.149372721267,
746,282.711979613845,
750,321.02982332475466,
756,57.16673089589405,
757,5429447.781687155,
758,119.39849245279427,
759,1155.757760086428,
760,173.2404505979911,
768,544.4653076859345,
769,2471.846708437027,
770,1304.991299874802,
778,11.313708498984761,
780,65.52098900352475,
785,44628.51442929294,
786,441.59841375690985,
789,264.0158808778701,
796,8838.522772470786,
801,7.453488009541446,
814,1234.9164284300682,
818,8.000000000000005,
821,730710.4633407329,
825,15254.290681076433,
826,53.60037313302958,
827,47.99999999999999,
828,155.5117632511846,
829,152.76181823664584,
841,2801.624837795593,
851,2128.99323095944,
852,518.7687772221606,
859,176.29028428382466,
864,3871.3964147798433,
901,193993.72565751855,
940,709.9882144229475,
