bank_name,gvkey,iid,datadate,fyear,at,ch,ivst,ist,tdst,lcuacu,lcabg,rcl,teq,seq,ceq,intan,pstk,nicon,npat,total_assets,liquid_assets,gross_loans,loan_loss_allowances,total_equity,shareholder_equity,common_equity,intangible_assets,preferred_equity,net_income,nonperforming_assets,first_trading_date,first_trading_year,market_age
Banco de Sabadell SA,245436,01W,20221231,2022,251379.5280,2023.6150,39236.7800,27332.5050,5543.7370,158678.0740,4862.9510,3020.2790,13224.4210,13190.0770,13190.0770,2484.1620,,748.26800,5968.2640,251379.528,74136.637,163541.025,3020.279,13224.421,13190.077,13190.077,2484.162,,748.268,5968.264,1984-01-02,1984,38
Banco de Sabadell SA,245436,01W,20231231,2023,235172.9550,1419.1590,28584.1070,27923.4020,4563.4790,152171.0540,7152.4670,3198.9690,13879.2060,13844.9930,13844.9930,2483.0740,,1216.79000,5910.7480,235172.955,62490.147,159323.521,3198.969,13879.206,13844.993,13844.993,2483.074,,1216.79,5910.748,1984-01-02,1984,39
Banco de Sabadell SA,245436,01W,20241231,2024,239597.9270,1276.5260,28353.4300,31414.3060,5421.5110,147531.4290,12771.6850,2847.5120,15032.5550,14998.1390,14998.1390,2549.4580,,1728.65000,4970.7620,239597.927,66465.773,160303.114,2847.512,15032.555,14998.139,14998.139,2549.458,,1728.65,4970.762,1984-01-02,1984,40
Banco de Sabadell SA,245436,01W,20251231,2025,245392.3940,1371.1610,22227.9780,33079.6780,3555.5940,109479.4970,11927.5370,2355.1290,14081.6990,14047.0960,14047.0960,2493.3590,,1246.69200,3688.9480,245392.394,60234.411,121407.034,2355.129,14081.699,14047.096,14047.096,2493.359,,1246.692,3688.948,1984-01-02,1984,41
Bank of Ireland Group PLC,063590,01W,20211231,2021,155268.0000,30904.0000,2890.0000,30831.0000,1871.0000,74858.0000,1488.0000,1958.0000,11338.0000,11270.0000,11270.0000,852.0000,,980.00000,4325.0000,155268,66496,76346,1958,11338,11270,11270,852,,980,4325,1984-01-02,1984,37
Bank of Ireland Group PLC,063590,01W,20221231,2022,151324.0000,36150.0000,3568.0000,27279.0000,4547.0000,69993.0000,1968.0000,1295.0000,11932.0000,11865.0000,11865.0000,1276.0000,,820.00000,2620.0000,151324,71544,71961,1295,11932,11865,11865,1276,,820,2620,1984-01-02,1984,38
Bank of Ireland Group PLC,063590,01W,20231231,2023,155708.0000,31487.0000,2140.0000,30582.0000,4389.0000,78855.0000,874.0000,1222.0000,12561.0000,12558.0000,12558.0000,1408.0000,,1486.00000,2526.0000,155708,68598,79729,1222,12561,12558,12558,1408,,1486,2526,1984-01-02,1984,39
Bank of Ireland Group PLC,063590,01W,20241231,2024,161813.0000,31503.0000,2591.0000,33771.0000,3816.0000,81800.0000,738.0000,1028.0000,13009.0000,13006.0000,13006.0000,1500.0000,,1453.00000,1876.0000,161813,71681,82538,1028,13009,13006,13006,1500,,1453,1876,1984-01-02,1984,40
Bank of Ireland Group PLC,063590,01W,20251231,2025,164799.0000,21332.0000,3179.0000,46948.0000,3101.0000,81746.0000,732.0000,1149.0000,12920.0000,12917.0000,12917.0000,1594.0000,,1115.00000,1849.0000,164799,74560,82478,1149,12920,12917,12917,1594,,1115,1849,1984-01-02,1984,41
Barclays PLC,012673,01W,20211231,2021,1384285.0000,240312.0000,245533.0000,70044.0000,448274.0000,345265.0000,9698.0000,5742.0000,70211.0000,69222.0000,69222.0000,8061.0000,,6375.00000,7235.0000,1384285,1004163,354963,5742,70211,69222,69222,8061,,6375,7235,1984-01-02,1984,37
