bank_name,gvkey,iid,datadate,prccd,ajexdi,trfd,adj_close,ret,prev_adj_close
BNP Paribas SA,015532,04W,2024-08-05,58.60000000,1.00000000,2.88220274,168.89708056,-0.017767348,168.89708056
BNP Paribas SA,015532,04W,2024-08-06,57.83000000,1.00000000,2.88220274,166.67778445,-0.013139932,166.67778445
BNP Paribas SA,015532,04W,2024-08-07,59.46000000,1.00000000,2.88220274,171.37577492,0.0281860626,171.37577492
BNP Paribas SA,015532,04W,2024-08-08,59.42000000,1.00000000,2.88220274,171.26048681,-0.000672721,171.26048681
BNP Paribas SA,015532,04W,2024-08-09,59.25000000,1.00000000,2.88220274,170.77051235,-0.00286099,170.77051235
BNP Paribas SA,015532,04W,2024-08-12,59.25000000,1.00000000,2.88220274,170.77051235,0,170.77051235
BNP Paribas SA,015532,04W,2024-08-13,59.27000000,1.00000000,2.88220274,170.8281564,0.0003375527,170.8281564
BNP Paribas SA,015532,04W,2024-08-14,59.75000000,1.00000000,2.88220274,172.21161372,0.0080985321,172.21161372
BNP Paribas SA,015532,04W,2024-08-15,60.47000000,1.00000000,2.88220274,174.28679969,0.0120502092,174.28679969
BNP Paribas SA,015532,04W,2024-08-16,61.12000000,1.00000000,2.88220274,176.16023147,0.0107491318,176.16023147
BNP Paribas SA,015532,04W,2024-08-19,61.36000000,1.00000000,2.88220274,176.85196013,0.0039267016,176.85196013
BNP Paribas SA,015532,04W,2024-08-20,60.91000000,1.00000000,2.88220274,175.55496889,-0.007333768,175.55496889
BNP Paribas SA,015532,04W,2024-08-21,61.18000000,1.00000000,2.88220274,176.33316363,0.0044327697,176.33316363
BNP Paribas SA,015532,04W,2024-08-22,61.08000000,1.00000000,2.88220274,176.04494336,-0.001634521,176.04494336
BNP Paribas SA,015532,04W,2024-08-23,61.42000000,1.00000000,2.88220274,177.02489229,0.0055664702,177.02489229
BNP Paribas SA,015532,04W,2024-08-26,61.45000000,1.00000000,2.88220274,177.11135837,0.0004884402,177.11135837
